Virksomhed;Navn;Type;Status;Undtag
39815508;S/I FGU-institutionen i Aarhus;4;1;N
39815524;S/I FGU Sydøstjylland;4;1;N
39815532;S/I FGU Midt-Vest;4;1;N
39815540;S/I FGU Vest;4;1;N
39815559;S/I FGU Trekanten;4;1;N
39815575;S/I FGU-institutionen i Kolding og Vejen;4;1;N
39815583;S/I FGU Sønderjylland;4;1;N
39815796;S/I FGU Bornholm;4;1;N
39815826;S/I FGU Hovedstaden;4;1;N
39815842;S/I FGU Fyn;4;1;N
39815869;S/I FGU Nordvestsjælland;4;1;N
39815885;S/I FGU Syd- & Midtfyn;4;1;N
39816334;S/I FGU-skolen Øst;4;1;N
39816369;S/I FGU Midt- og Østsjælland;4;1;N
39816377;S/I FGU Syd- og Vestsjælland;4;1;N
39816385;S/I FGU Lolland-Falster;4;1;N
39816393;S/I FGU Nordsjælland;4;1;N
39816407;S/I FGU Øresund;4;1;N
39816423;S/I FGU Nord;4;1;N
39816431;S/I FGU Vestegnen;4;1;N
39850885;Styrelsen for Patientklager;1;1;N
39851490;Nationalt Genom Center;1;1;N
39883481;Administrations- og Servicestyrelsen;1;3;N
39883511;Gældsstyrelsen;1;3;N
39883643;Motorstyrelsen;1;3;N
39883686;Skattestyrelsen;1;3;N
39883740;Toldstyrelsen;1;3;N
39883783;Udviklings- og Forenklingsstyrelsen;1;3;N
39883791;Vurderingsstyrelsen;1;3;N
39902613;Århus Stift;5;1;N
40056823;Den Sociale Investeringsfond S/I;6;1;N
40194258;Landinspektørnævnet;1;1;N
40398953;S/I Tænketank om forebyggelse af madspild og fødevaretab;5;1;N
40786449;Medarbejder- og Kompetencestyrelsen;1;1;N
40822186;Folkekirken.dk;6;1;N
40850031;Færdselsstyrelsen;1;1;N
41073411;Gråsten Landbrugsskole;4;1;N
41075112;Viborg Stift;5;1;N
41338210;Hjemrejsestyrelsen;1;1;N
41433698;S/I Seniorpensionsenheden;6;1;N
41575727;Styrelsen for Forsyningssikkerhed;1;1;N
41824328;Tilsynet med told- og skatteforvaltningens it-område;1;1;N
41956011;Ministeriet for Fødevarer, Landbrug og Fiskeri;1;1;N
42047007;ICARS (International Centre for Antimicrobial Resistance Solutions);5;1;N
42082228;Kjærgård Landbrugsskole;4;2;N
42107190;Indenrigs- og Boligministeriet;1;1;N
42125741;Plan- og Landdistriktsstyrelsen;1;1;N
42665061;Folkekirkens Arbejdsmiljørådgivning;6;1;N
42874477;Klagenævn for Taxi;6;1;N
43265717;Transportministeriet, Departementet;1;1;N
43271911;Udenrigsministeriet;1;1;N
43405810;ATP;6;1;N
43720082;Digitaliserings- og Ligestillingsministeriet;1;1;N
43725874;Økonomiministeriet;1;1;N
44050412;Roskilde Stift;5;1;N
44053128;Roskilde Tekniske Skole;4;1;N
44285185;Fredningsnævnet for Bornholm;1;1;N
45066932;Ministeriet for Samfundssikkerhed og Beredskab;1;1;J
45067009;Ministeriet for Grøn Trepart;1;1;J
45067033;Ældreministeriet;1;1;J
45357716;Rybners;4;1;N
46837428;Statens Serum Institut;1;1;N
46994051;Tech College S/I;4;1;N
48570658;Aarhus Business College;4;1;N
50270513;Haderslev Stift;5;1;N
51531817;Den Danske Scenekunstskole;1;1;N
52990319;Beredskabsstyrelsen;1;1;N
53383211;Kriminalforsorgen;1;1;N
